product,review,issue_date,announcement_date,effective_close_date,country,action,company_name,stock_code,mapping_status,mapping_score,matched_name,mapping_source,source_pdf,row_order
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,PROSPERITY DIELECT CO LT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,30
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,RUENTEX ENGIN & CONST,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,32
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,SOLELYTEX INDUSTRIAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,34
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,WELLYPOWER OPTRONICS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,42
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,addition,ILI TECHNOLOGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,4
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,addition,SINOAMERICAN SILICON PRO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,10
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,addition,TRANSASIA AIRWAYS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,11
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,deletion,ADV WIRELESS SEMICONDUC,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,1
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,deletion,J TOUCH CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,13
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,deletion,SAN CHIH SEMICONDUCTOR,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,22
small_cap,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,deletion,SKYMEDI,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,24
small_cap,2013-11,2013-11-07,2013-11-07,2013-11-26,TAIWAN,addition,RUENTEX ENGIN & CONST,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov13_SCPublicList.pdf,11
small_cap,2013-11,2013-11-07,2013-11-07,2013-11-26,TAIWAN,addition,YEONG GUAN ENERGY GROUP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov13_SCPublicList.pdf,15
small_cap,2013-11,2013-11-07,2013-11-07,2013-11-26,TAIWAN,deletion,ADVANCED INT'L MULTITECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov13_SCPublicList.pdf,2
small_cap,2013-11,2013-11-07,2013-11-07,2013-11-26,TAIWAN,deletion,ILI TECHNOLOGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov13_SCPublicList.pdf,5
