country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,BEARINGPOINT,,,,0.0,needs_review
USA,BOK FINANCIAL CORP,BOKF,BOK FINANCIAL CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CELL GENESYS,,,,0.0,needs_review
USA,CITADEL BROADCASTING,,,,0.0,needs_review
USA,COMMERCIAL VEHICLE GRP,,,,0.0,needs_review
USA,CRYSTAL RIVER CAPITAL,,,,0.0,needs_review
USA,CUMULUS MEDIA A,CMLS,CUMULUS MEDIA INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DOLLAR THRIFTY AUTOMOT.,,,,0.0,needs_review
USA,DOWNEY FINANCIAL CORP,,,,0.0,needs_review
USA,ENTERCOM COMMUNI. CORP,,,,0.0,needs_review
USA,EVERGREEN ENERGY,,,,0.0,needs_review
USA,FEDERAL AGRICULT. MTG C,,,,0.0,needs_review
USA,FIRST STATE BANCORP,,,,0.0,needs_review
USA,FLEETWOOD ENTERPRISES,,,,0.0,needs_review
USA,GATEHOUSE MEDIA,,,,0.0,needs_review
USA,GRAMERCY CAPITAL CORP,,,,0.0,needs_review
USA,GRAY TELEVISION B,,,,0.0,needs_review
USA,GREAT WOLF RESORTS,,,,0.0,needs_review
USA,GRUBB & ELLIS CO,,,,0.0,needs_review
USA,JER INVESTORS TRUST,,,,0.0,needs_review
USA,LADENBURG THALMANN,,,,0.0,needs_review
USA,LCA-VISION,,,,0.0,needs_review
USA,LITHIA MOTORS A,LAD,LITHIA MOTORS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MEDIS TECHNOLOGIES,,,,0.0,needs_review
USA,MIDWEST BANC HOLDINGS,,,,0.0,needs_review
USA,MONACO COACH CORP,,,,0.0,needs_review
USA,MTR GAMING GROUP,,,,0.0,needs_review
USA,NEXCEN BRANDS,,,,0.0,needs_review
USA,NEXTWAVE WIRELESS,,,,0.0,needs_review
USA,OPENWAVE SYSTEMS,,,,0.0,needs_review
USA,PACIFIC ETHANOL INC,,,,0.0,needs_review
USA,PHARMANET DEVELOPMENT,,,,0.0,needs_review
USA,PHOTRONICS,PLAB,PHOTRONICS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PLAYBOY ENTERPRISES B,,,,0.0,needs_review
USA,PRIMEDIA (US),,,,0.0,needs_review
USA,PRIMUS GUARANTY,,,,0.0,needs_review
USA,PROVIDENCE SERVICE CORP,,,,0.0,needs_review
USA,R.H. DONNELLEY CORP,,,,0.0,needs_review
USA,REDDY ICE HOLDINGS INC,,,,0.0,needs_review
USA,SELECT COMFORT CORP,,,,0.0,needs_review
USA,SONIC SOLUTIONS,,,,0.0,needs_review
USA,TERRESTAR,,,,0.0,needs_review
USA,THORNBURG MORTGAGE,,,,0.0,needs_review
USA,TIERONE CORP,,,,0.0,needs_review
USA,URANIUM RESOURCES,,,,0.0,needs_review
USA,VALUEVISION MEDIA A,,,,0.0,needs_review
USA,VERENIUM,,,,0.0,needs_review
USA,W HOLDING CO,,,,0.0,needs_review
USA,WESCO FINANCIAL CORP,,,,0.0,needs_review
USA,WESTWOOD ONE,,,,0.0,needs_review
USA,UNIVEST CORP OF PENNS.,,,,0.0,needs_review
USA,VILLAGE SUPER MARKET A,VLGEA,VILLAGE SUPER MARKET INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,VOLTERRA SEMICONDUCTOR,,,,0.0,needs_review
USA,WASHINGTON TRUST BANCORP,WASH,WASHINGTON TRUST BANCORP INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,ARCADYAN TECHNOLOGY CORP,3596,Arcadyan,FinLab company_basic_info:英文簡稱,0.9321,verified_tw_reference_fuzzy
TAIWAN,CHINA HI MENT,1103,Chia Hsin Cement Corporation / 嘉泥,Round8c web/Yahoo/Google evidence: Google/Yahoo/Cnyes show Chia Hsin Cement Corporation code 1103; MSCI name appears abbreviated/misparsed.,0.95,verified_tw_yahoo_google_round8c
TAIWAN,GENESIS PHOTONICS,6221,Genesis,FinLab company_basic_info:英文簡稱,0.9312,verified_tw_reference_fuzzy
TAIWAN,NEO SOLAR POWER CORP,1785,Solar,FinLab company_basic_info:英文簡稱,0.8933,verified_tw_reference_fuzzy
TAIWAN,SOLARTECH ENERGY CORP,3561,Solartech Energy Corp. / 昇陽光電,Round8d web/Yahoo/Google evidence: Yahoo Finance and MarketScreener show Solartech Energy Corp. 3561.TW; TWSE factbook delisting table lists Solartech Energy Corp. code 3561.,0.95,verified_tw_historical_round8d
TAIWAN,TAIWAN COGENERATION,8926,Taiwan Cogeneration Corporation,Round7 current-code discovery: Yahoo Finance search matched `Taiwan Cogeneration Corporation`/8926.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: TCC | 台汽電 | 台灣汽電共生股份有限公司,1.0000,verified_tw_current_round7
