country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status,is_verified_mapping,universe_match,universe_checked,backtest_ready_mapping
TAIWAN,FORMOSA TAFFETA CO,1434,"Formosa Taffeta Co., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `Formosa Taffeta Co., Ltd.`/1434.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: F.T.C | 福懋 | 福懋興業股份有限公司",1.0000,verified_tw_current_round7,true,true,FinLab/TWSE/TPEx ticker reference universe,true
USA,BILL.COM HOLDINGS,BILL,"BILL Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,COINBASE GLOBAL A,COIN,"Coinbase Global, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ENTEGRIS,ENTG,ENTEGRIS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ZOOMINFO TECH A,ZI,ZoomInfo Technologies Inc. Class A,Round4 conflict review: https://www.sec.gov/Archives/edgar/data/1794515/000179451524000211/zi-20231231.htm | https://www.sec.gov/Archives/edgar/data/1794515/000179451525000097/zi-8kex991x20250512.htm,0.98,verified_historical_round4,true,true,us_dayTradePortfolio Close union,true
USA,PINNACLE WEST CAPITAL,PNW,PINNACLE WEST CAPITAL CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,RENAISSANCERE HOLDINGS,RNR,RENAISSANCERE HOLDINGS LTD,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,VOYA FINANCIAL,VOYA,"Voya Financial, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
TAIWAN,EMEMORY TECHNOLOGY,3529,eMemory,FinLab company_basic_info:英文簡稱,0.9289,verified_tw_reference_fuzzy,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,VOLTRONIC POWER TECH,6409,VOLTRONIC,FinLab company_basic_info:英文簡稱,0.935,verified_tw_reference_fuzzy,true,true,FinLab/TWSE/TPEx ticker reference universe,true
USA,ARES MANAGEMENT CORP,ARES,Ares Management Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,HUBBELL,HUBB,HUBBELL INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,OVINTIV(US),OVV,Ovintiv Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,TOAST A,TOST,"Toast, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,WOLFSPEED,WOLF,"WOLFSPEED, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,IAC,IAC,IAC Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,VORNADO REALTY TRUST,VNO,VORNADO REALTY TRUST,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
TAIWAN,PHARMAESSENTIA,6446,PharmaEssentia Corp.,Round7 official historical delisted source: TPEx EN deListed official delist_date=2024-01-25,1.0000,verified_tw_historical_round7,true,true,FinLab/TWSE/TPEx ticker reference universe,true
USA,CELSIUS HLDGS,CELH,"Celsius Holdings, Inc.",web_verified_round2:https://ir.celsiusholdingsinc.com/overview/default.aspx,0.95,verified_us_web_high_confidence,true,true,us_dayTradePortfolio Close union,true
USA,VERTIV HOLDINGS A,VRT,Vertiv Holdings Co,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ARROW ELECTRONICS,ARW,"ARROW ELECTRONICS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,DENTSPLY SIRONA,XRAY,DENTSPLY SIRONA Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,INVESCO LTD,IVZ,Invesco Ltd.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,MOHAWK INDUSTRIES,MHK,MOHAWK INDUSTRIES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
