ticker,name,exchange,source,norm
1460,宏遠興業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1460,EVEREST,sii,FinLab company_basic_info:英文簡稱,EVEREST
1463,強盛新,sii,FinLab company_basic_info:公司簡稱,
1463,強盛新投資控股股份有限公司,sii,FinLab company_basic_info:公司名稱,
1463,CSG,sii,FinLab company_basic_info:英文簡稱,CSG
1464,得力,sii,FinLab company_basic_info:公司簡稱,
1464,得力實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1464,DE LICACY,sii,FinLab company_basic_info:英文簡稱,DE LICACY
1465,偉全,sii,FinLab company_basic_info:公司簡稱,
1465,偉全實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1465,WISHER,sii,FinLab company_basic_info:英文簡稱,WISHER
1466,聚隆,sii,FinLab company_basic_info:公司簡稱,
1466,聚隆纖維股份有限公司,sii,FinLab company_basic_info:公司名稱,
1466,Acelon,sii,FinLab company_basic_info:英文簡稱,ACELON
1467,南緯,sii,FinLab company_basic_info:公司簡稱,
1467,南緯實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1467,TEX-RAY,sii,FinLab company_basic_info:英文簡稱,TEX RAY
1468,昶和,sii,FinLab company_basic_info:公司簡稱,
1468,昶和纖維興業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1468,CHANG HO,sii,FinLab company_basic_info:英文簡稱,CHANG HO
1470,大統新創,sii,FinLab company_basic_info:公司簡稱,
1470,大統新創股份有限公司,sii,FinLab company_basic_info:公司名稱,
1470,EVERTEX,sii,FinLab company_basic_info:英文簡稱,EVERTEX
1471,首利,sii,FinLab company_basic_info:公司簡稱,
1471,首利實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1471,SL,sii,FinLab company_basic_info:英文簡稱,SL
1472,三洋實業,sii,FinLab company_basic_info:公司簡稱,
1472,三洋實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1472,TRIOCEAN,sii,FinLab company_basic_info:英文簡稱,TRIOCEAN
1473,台南,sii,FinLab company_basic_info:公司簡稱,
1473,台南企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1473,TAINAN,sii,FinLab company_basic_info:英文簡稱,TAINAN
1474,弘裕,sii,FinLab company_basic_info:公司簡稱,
1474,弘裕企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1474,HONMYUE,sii,FinLab company_basic_info:英文簡稱,HONMYUE
1475,業旺,sii,FinLab company_basic_info:公司簡稱,
1475,台灣業旺股份有限公司,sii,FinLab company_basic_info:公司名稱,
1475,BIG SUNSHINE,sii,FinLab company_basic_info:英文簡稱,BIG SUNSHINE
1476,儒鴻,sii,FinLab company_basic_info:公司簡稱,
1476,儒鴻企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1476,ECLAT,sii,FinLab company_basic_info:英文簡稱,ECLAT
1477,聚陽,sii,FinLab company_basic_info:公司簡稱,
1477,聚陽實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1477,Makalot,sii,FinLab company_basic_info:英文簡稱,MAKALOT
1503,士電,sii,FinLab company_basic_info:公司簡稱,
1503,士林電機廠股份有限公司,sii,FinLab company_basic_info:公司名稱,
1503,SEEC,sii,FinLab company_basic_info:英文簡稱,SEEC
1504,東元,sii,FinLab company_basic_info:公司簡稱,
1504,東元電機股份有限公司,sii,FinLab company_basic_info:公司名稱,
1504,TECO,sii,FinLab company_basic_info:英文簡稱,TECO
1506,正道,sii,FinLab company_basic_info:公司簡稱,
1506,正道工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1506,RIGHT WAY,sii,FinLab company_basic_info:英文簡稱,RIGHT WAY
1512,瑞利,sii,FinLab company_basic_info:公司簡稱,
1512,瑞利企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1512,JL,sii,FinLab company_basic_info:英文簡稱,JL
1513,中興電,sii,FinLab company_basic_info:公司簡稱,
1513,中興電工機械股份有限公司,sii,FinLab company_basic_info:公司名稱,
1513,CHEM,sii,FinLab company_basic_info:英文簡稱,CHEM
1514,亞力,sii,FinLab company_basic_info:公司簡稱,
1514,亞力電機股份有限公司,sii,FinLab company_basic_info:公司名稱,
1514,AEC,sii,FinLab company_basic_info:英文簡稱,AEC
1515,力山,sii,FinLab company_basic_info:公司簡稱,
1515,力山工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1515,REXON,sii,FinLab company_basic_info:英文簡稱,REXON
1516,川飛,sii,FinLab company_basic_info:公司簡稱,
1516,川飛能源股份有限公司,sii,FinLab company_basic_info:公司名稱,
1516,FALCON,sii,FinLab company_basic_info:英文簡稱,FALCON
1517,利奇,sii,FinLab company_basic_info:公司簡稱,
1517,利奇機械工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1517,Lee Chi,sii,FinLab company_basic_info:英文簡稱,LEE CHI
1519,華城,sii,FinLab company_basic_info:公司簡稱,
1519,華城電機股份有限公司,sii,FinLab company_basic_info:公司名稱,
1519,FE,sii,FinLab company_basic_info:英文簡稱,FE
1521,大億,sii,FinLab company_basic_info:公司簡稱,
1521,大億交通工業製造股份有限公司,sii,FinLab company_basic_info:公司名稱,
1521,TA YIH,sii,FinLab company_basic_info:英文簡稱,TA YIH
1522,堤維西,sii,FinLab company_basic_info:公司簡稱,
1522,堤維西交通工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1522,TYC,sii,FinLab company_basic_info:英文簡稱,TYC
1524,耿鼎,sii,FinLab company_basic_info:公司簡稱,
1524,耿鼎企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1524,GORDON,sii,FinLab company_basic_info:英文簡稱,GORDON
1525,江申,sii,FinLab company_basic_info:公司簡稱,
1525,江申工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1525,KSC,sii,FinLab company_basic_info:英文簡稱,KSC
1526,日馳,sii,FinLab company_basic_info:公司簡稱,
1526,日馳企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1526,SUNRACE,sii,FinLab company_basic_info:英文簡稱,SUNRACE
1527,鑽全,sii,FinLab company_basic_info:公司簡稱,
1527,鑽全實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1527,BASSO,sii,FinLab company_basic_info:英文簡稱,BASSO
1528,恩德,sii,FinLab company_basic_info:公司簡稱,
1528,恩德科技股份有限公司,sii,FinLab company_basic_info:公司名稱,
1528,ANDERSON,sii,FinLab company_basic_info:英文簡稱,ANDERSON
1529,樂事綠能,sii,FinLab company_basic_info:公司簡稱,
1529,樂事綠能科技股份有限公司,sii,FinLab company_basic_info:公司名稱,
1529,LUXE,sii,FinLab company_basic_info:英文簡稱,LUXE
1530,亞崴,sii,FinLab company_basic_info:公司簡稱,
1530,亞崴機電股份有限公司,sii,FinLab company_basic_info:公司名稱,
1530,AWEA,sii,FinLab company_basic_info:英文簡稱,AWEA
1531,高林股,sii,FinLab company_basic_info:公司簡稱,
1531,高林股份有限公司,sii,FinLab company_basic_info:公司名稱,
1531,KAULIN,sii,FinLab company_basic_info:英文簡稱,KAULIN
1532,勤美,sii,FinLab company_basic_info:公司簡稱,
1532,勤美股份有限公司,sii,FinLab company_basic_info:公司名稱,
1532,CMP,sii,FinLab company_basic_info:英文簡稱,CMP
1533,車王電,sii,FinLab company_basic_info:公司簡稱,
1533,車王電子股份有限公司,sii,FinLab company_basic_info:公司名稱,
1533,MORE,sii,FinLab company_basic_info:英文簡稱,MORE
1535,中宇,sii,FinLab company_basic_info:公司簡稱,
1535,中宇環保工程股份有限公司,sii,FinLab company_basic_info:公司名稱,
1535,CEC,sii,FinLab company_basic_info:英文簡稱,CEC
1536,和大,sii,FinLab company_basic_info:公司簡稱,
1536,和大工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1536,HOTA,sii,FinLab company_basic_info:英文簡稱,HOTA
1537,廣隆,sii,FinLab company_basic_info:公司簡稱,
1537,廣隆光電科技股份有限公司,sii,FinLab company_basic_info:公司名稱,
1537,KUNG LONG,sii,FinLab company_basic_info:英文簡稱,KUNG LONG
1538,正峰,sii,FinLab company_basic_info:公司簡稱,
1538,正峰工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1538,JF,sii,FinLab company_basic_info:英文簡稱,JF
1539,巨庭,sii,FinLab company_basic_info:公司簡稱,
1539,巨庭機械股份有限公司,sii,FinLab company_basic_info:公司名稱,
1539,GT,sii,FinLab company_basic_info:英文簡稱,GT
1540,喬福,sii,FinLab company_basic_info:公司簡稱,
1540,喬福機械工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1540,ROUNDTOP,sii,FinLab company_basic_info:英文簡稱,ROUNDTOP
1541,錩泰,sii,FinLab company_basic_info:公司簡稱,
1541,錩泰工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1541,Chang Type,sii,FinLab company_basic_info:英文簡稱,CHANG TYPE
1558,伸興,sii,FinLab company_basic_info:公司簡稱,
1558,伸興工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1558,ZENG HSING,sii,FinLab company_basic_info:英文簡稱,ZENG HSING
1560,中砂,sii,FinLab company_basic_info:公司簡稱,
1560,中國砂輪企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1560,KINIK,sii,FinLab company_basic_info:英文簡稱,KINIK
1563,巧新,sii,FinLab company_basic_info:公司簡稱,
1563,巧新科技工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1563,SAI,sii,FinLab company_basic_info:英文簡稱,SAI
1568,倉佑,sii,FinLab company_basic_info:公司簡稱,
1568,倉佑實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1568,T.Y.,sii,FinLab company_basic_info:英文簡稱,T Y
1582,信錦,sii,FinLab company_basic_info:公司簡稱,
1582,信錦企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1582,SYNCMOLD,sii,FinLab company_basic_info:英文簡稱,SYNCMOLD
1583,程泰,sii,FinLab company_basic_info:公司簡稱,
1583,程泰機械股份有限公司,sii,FinLab company_basic_info:公司名稱,
